frame;tipo;conf;id;x1;y1;x2;y2;matricula_easy;matricula_tesseract;time_easy;time_tesseract
0;car;0.8536412715911865;1;900;303;1108;444;;PP;0.03197979927062988;0.12047314643859863
0;car;0.7881511449813843;2;1123;303;1198;361;;;0.0;0.0
0;person;0.78697270154953;3;552;268;605;430;;;0.0;0.0
0;person;0.7275097370147705;4;463;286;526;427;;;0.0;0.0
0;car;0.6081671118736267;5;1285;322;1339;358;;;0.0;0.0
0;car;0.4944464862346649;6;1341;322;1384;355;;;0.0;0.0
0;car;0.4832476079463959;7;1383;324;1437;362;;;0.0;0.0
0;car;0.47215697169303894;8;1367;323;1397;357;;;0.0;0.0
0;car;0.4265541434288025;9;1429;323;1506;379;;;0.0;0.0
0;car;0.4051547348499298;10;1455;323;1513;382;;;0.0;0.0
0;car;0.38849952816963196;11;1385;323;1446;369;;;0.0;0.0
0;car;0.3358190655708313;12;1428;324;1479;377;;;0.0;0.0
0;car;0.27769041061401367;13;1201;316;1246;344;;;0.0;0.0
0;car;0.2695080637931824;14;1209;318;1248;341;;;0.0;0.0
0;car;0.2558511793613434;15;1251;316;1283;340;;;0.0;0.0
0;car;0.2551003694534302;16;1280;319;1331;350;;;0.0;0.0
1;car;0.8140426874160767;1;889;302;1107;447;;P;0.006515979766845703;0.11601424217224121
1;car;0.7746714353561401;2;1122;303;1197;362;;;0.0;0.0
1;person;0.8084514737129211;3;554;269;606;430;;;0.0;0.0
1;person;0.7938765287399292;4;468;286;527;428;;;0.0;0.0
1;car;0.6493682861328125;5;1284;321;1338;358;;;0.0;0.0
1;car;0.4719449281692505;6;1341;323;1384;355;;;0.0;0.0
1;car;0.4894212484359741;7;1383;324;1437;362;;;0.0;0.0
1;car;0.4730752408504486;8;1367;323;1397;357;;;0.0;0.0
1;car;0.43126416206359863;9;1429;323;1506;379;;;0.0;0.0
1;car;0.4037879407405853;10;1454;323;1513;382;;;0.0;0.0
1;car;0.3839336037635803;11;1386;323;1445;369;;;0.0;0.0
1;car;0.3387605845928192;12;1429;324;1480;377;;;0.0;0.0
1;car;0.29936718940734863;13;1201;316;1247;343;;;0.0;0.0
1;car;0.31670206785202026;14;1209;318;1248;341;;;0.0;0.0
1;car;0.2838548719882965;15;1251;317;1283;340;;;0.0;0.0
2;car;0.8551754355430603;1;878;301;1105;451;;J;0.0069997310638427734;0.0964195728302002
2;car;0.7873703837394714;2;1121;304;1195;362;;;0.0;0.0
2;person;0.8096668720245361;3;554;269;606;429;;;0.0;0.0
2;person;0.741003692150116;4;469;286;527;428;;;0.0;0.0
2;car;0.658168613910675;5;1284;321;1336;358;;;0.0;0.0
2;car;0.49048465490341187;6;1340;323;1383;355;;;0.0;0.0
2;car;0.4799126386642456;7;1383;325;1436;361;;;0.0;0.0
2;car;0.4925318956375122;8;1366;323;1397;357;;;0.0;0.0
2;car;0.43465110659599304;9;1429;323;1506;380;;;0.0;0.0
2;car;0.40574556589126587;10;1453;323;1513;382;;;0.0;0.0
2;car;0.3825605809688568;11;1386;323;1445;369;;;0.0;0.0
2;car;0.33467546105384827;12;1429;324;1480;378;;;0.0;0.0
2;car;0.29932257533073425;13;1201;316;1246;343;;;0.0;0.0
2;car;0.3422640264034271;14;1211;318;1248;341;;;0.0;0.0
2;car;0.2785489559173584;15;1250;316;1282;340;;;0.0;0.0
3;car;0.845676600933075;1;868;301;1100;454;;8;0.005500078201293945;0.10756587982177734
3;car;0.7652596831321716;2;1121;304;1194;362;;;0.0;0.0
3;person;0.7597717046737671;3;555;271;608;430;;;0.0;0.0
3;person;0.7262952923774719;4;474;288;529;427;;;0.0;0.0
3;car;0.657070517539978;5;1284;321;1336;358;;;0.0;0.0
3;car;0.4949444830417633;6;1340;323;1383;354;;;0.0;0.0
3;car;0.48167359828948975;7;1383;325;1437;361;;;0.0;0.0
3;car;0.4969182312488556;8;1366;323;1397;357;;;0.0;0.0
3;car;0.4436171054840088;9;1429;323;1507;380;;;0.0;0.0
3;car;0.4077209532260895;10;1451;323;1513;382;;;0.0;0.0
3;car;0.387694388628006;11;1386;323;1445;369;;;0.0;0.0
3;car;0.33285972476005554;12;1429;324;1480;378;;;0.0;0.0
3;car;0.28686368465423584;13;1201;316;1244;343;;;0.0;0.0
3;car;0.3413067162036896;14;1213;318;1248;341;;;0.0;0.0
3;car;0.28849586844444275;15;1250;316;1282;340;;;0.0;0.0
4;car;0.8455376029014587;1;865;301;1099;456;;;0.005499124526977539;0.09686398506164551
4;car;0.7657529711723328;2;1121;304;1194;362;;;0.0;0.0
4;person;0.7595568299293518;3;555;272;609;430;;;0.0;0.0
4;person;0.7271115183830261;4;476;289;530;427;;;0.0;0.0
4;car;0.6570079922676086;5;1284;321;1336;358;;;0.0;0.0
4;car;0.49475929141044617;6;1340;323;1383;354;;;0.0;0.0
4;car;0.48189812898635864;7;1383;325;1437;361;;;0.0;0.0
4;car;0.49711543321609497;8;1366;323;1397;357;;;0.0;0.0
4;car;0.44403076171875;9;1429;323;1507;380;;;0.0;0.0
4;car;0.4079667031764984;10;1451;323;1513;382;;;0.0;0.0
4;car;0.3880365490913391;11;1386;323;1445;369;;;0.0;0.0
4;car;0.3321927487850189;12;1429;324;1480;378;;;0.0;0.0
4;car;0.2866891026496887;13;1201;316;1244;343;;;0.0;0.0
4;car;0.34077608585357666;14;1213;318;1248;341;;;0.0;0.0
4;car;0.2881215214729309;15;1250;316;1282;340;;;0.0;0.0
5;car;0.8728482127189636;1;853;301;1095;459;;B;0.0054988861083984375;0.11199092864990234
5;car;0.7488107085227966;2;1119;304;1194;361;;;0.0;0.0
5;person;0.7652561664581299;3;555;271;615;431;;;0.0;0.0
5;person;0.75872802734375;4;480;284;533;427;;;0.0;0.0
5;car;0.679068922996521;5;1284;320;1336;358;;;0.0;0.0
5;car;0.5054271817207336;6;1341;322;1381;354;;;0.0;0.0
5;car;0.48378631472587585;7;1383;324;1437;361;;;0.0;0.0
5;car;0.5098589658737183;8;1366;323;1397;357;;;0.0;0.0
5;car;0.4420909285545349;9;1429;323;1506;380;;;0.0;0.0
5;car;0.4036276936531067;10;1452;323;1513;382;;;0.0;0.0
5;car;0.3849559724330902;11;1386;323;1445;369;;;0.0;0.0
5;car;0.3406835198402405;12;1429;324;1480;378;;;0.0;0.0
5;car;0.29543691873550415;13;1201;316;1245;343;;;0.0;0.0
5;car;0.35310813784599304;14;1211;318;1248;341;;;0.0;0.0
5;car;0.28100308775901794;15;1250;316;1283;340;;;0.0;0.0
6;car;0.8948447704315186;1;841;301;1092;462;;SS;0.005498409271240234;0.0982511043548584
6;car;0.7521615624427795;2;1118;303;1195;362;;;0.0;0.0
6;person;0.7817702293395996;3;556;266;616;430;;;0.0;0.0
6;person;0.7727003693580627;4;482;282;536;426;;;0.0;0.0
6;car;0.681365966796875;5;1284;320;1335;357;;;0.0;0.0
6;car;0.5217607617378235;6;1340;322;1380;354;;;0.0;0.0
6;car;0.48887863755226135;7;1383;324;1437;361;;;0.0;0.0
6;car;0.512540340423584;8;1367;323;1397;357;;;0.0;0.0
6;car;0.44896766543388367;9;1429;323;1507;380;;;0.0;0.0
6;car;0.4066076874732971;10;1451;323;1513;382;;;0.0;0.0
6;car;0.39172354340553284;11;1386;323;1445;369;;;0.0;0.0
6;car;0.33660101890563965;12;1429;324;1480;378;;;0.0;0.0
6;car;0.2747504413127899;13;1202;316;1246;343;;;0.0;0.0
6;car;0.36809420585632324;14;1210;318;1248;341;;;0.0;0.0
6;car;0.2849254310131073;15;1250;316;1283;340;;;0.0;0.0
7;car;0.882806122303009;1;828;301;1087;468;;ERS;0.008502721786499023;0.12251043319702148
7;car;0.7449367642402649;2;1117;303;1196;362;;;0.0;0.0
7;person;0.7684440016746521;3;557;269;620;430;;;0.0;0.0
7;person;0.759644627571106;4;482;279;538;426;;;0.0;0.0
7;car;0.6260285973548889;5;1283;320;1335;357;;;0.0;0.0
7;car;0.5150904059410095;6;1340;322;1381;354;;;0.0;0.0
7;car;0.48593059182167053;7;1383;325;1436;361;;;0.0;0.0
7;car;0.5061933398246765;8;1367;323;1397;357;;;0.0;0.0
7;car;0.44673392176628113;9;1429;323;1507;380;;;0.0;0.0
7;car;0.41274118423461914;10;1452;323;1513;382;;;0.0;0.0
7;car;0.39589548110961914;11;1386;323;1445;369;;;0.0;0.0
7;car;0.34073665738105774;12;1429;324;1479;378;;;0.0;0.0
7;car;0.27119550108909607;13;1202;316;1247;343;;;0.0;0.0
7;car;0.36606281995773315;14;1209;318;1248;341;;;0.0;0.0
7;car;0.24347692728042603;15;1249;315;1282;340;;;0.0;0.0
8;car;0.8953704833984375;1;813;301;1082;473;;;0.0074956417083740234;0.10760664939880371
8;car;0.7479785680770874;2;1117;303;1194;363;;;0.0;0.0
8;person;0.7656664848327637;3;557;271;622;431;;;0.0;0.0
8;person;0.6974205374717712;4;484;283;541;425;;;0.0;0.0
8;car;0.6214883923530579;5;1282;320;1333;356;;;0.0;0.0
8;car;0.5207840800285339;6;1339;322;1381;354;;;0.0;0.0
8;car;0.4866507947444916;7;1383;325;1436;361;;;0.0;0.0
8;car;0.5139024257659912;8;1366;323;1397;357;;;0.0;0.0
8;car;0.4474692642688751;9;1429;323;1507;380;;;0.0;0.0
8;car;0.41747763752937317;10;1452;323;1513;382;;;0.0;0.0
8;car;0.4050336480140686;11;1386;323;1445;369;;;0.0;0.0
8;car;0.344791978597641;12;1428;324;1479;377;;;0.0;0.0
8;car;0.25143441557884216;13;1202;315;1247;343;;;0.0;0.0
8;car;0.32455769181251526;14;1210;318;1248;341;;;0.0;0.0
