epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.73301,1.6064,4.42898,1.43753,0.00306,0.88,0.13708,0.06789,1.28157,3.51495,0.94633,0.00046,0.00046,0.00046
2,6.1985,1.54729,2.8952,1.18291,0.00319,0.92,0.39713,0.13243,1.50316,3.50257,1.06245,0.000916735,0.000916735,0.000916735
3,8.53732,1.52375,2.34505,1.23023,0.50346,0.08138,0.44614,0.22523,1.27748,2.98741,1.05611,0.00134971,0.00134971,0.00134971
4,10.8556,1.59257,2.21813,1.20051,0.84562,0.44,0.63468,0.29338,1.52043,2.78979,1.24905,0.00175893,0.00175893,0.00175893
5,13.1248,1.44346,2.2715,1.20033,0.6629,0.55095,0.68979,0.36439,1.32757,2.48176,1.25962,0.001802,0.001802,0.001802
6,15.4193,1.40376,1.95999,1.19801,0.75822,0.84,0.7304,0.41781,1.3134,2.192,1.2007,0.0017525,0.0017525,0.0017525
7,17.6711,1.44273,2.07848,1.19551,0.86949,0.88,0.8692,0.49534,1.36173,2.05154,1.20559,0.001703,0.001703,0.001703
8,19.9053,1.46307,2.12853,1.17995,0.96202,0.76,0.90093,0.47693,1.34566,1.94295,1.20762,0.0016535,0.0016535,0.0016535
9,22.1533,1.34121,1.92091,1.12912,0.90948,0.92,0.91644,0.50043,1.32176,1.88217,1.08301,0.001604,0.001604,0.001604
10,24.3975,1.3437,1.8787,1.09937,0.87037,0.92,0.91226,0.51796,1.27269,2.21301,1.07194,0.0015545,0.0015545,0.0015545
11,27.1733,1.40396,1.87629,1.09905,0.8404,0.88,0.9305,0.51653,1.28479,1.70918,1.11806,0.001505,0.001505,0.001505
12,29.4933,1.33981,1.82671,1.11487,0.70015,0.84,0.89428,0.46293,1.40944,1.72305,1.18073,0.0014555,0.0014555,0.0014555
13,31.6867,1.2448,1.73083,1.12497,0.91766,0.89187,0.96786,0.57202,1.1824,1.47152,1.12538,0.001406,0.001406,0.001406
14,33.9282,1.2432,1.57959,1.10102,0.95821,0.91726,0.96874,0.5673,1.24148,1.48124,1.16938,0.0013565,0.0013565,0.0013565
15,36.3227,1.25569,1.57067,1.11289,0.87729,0.76,0.89312,0.51081,1.2398,1.42924,1.12726,0.001307,0.001307,0.001307
16,39.1138,1.24147,1.48988,1.06286,0.90417,0.84,0.93713,0.55991,1.16753,1.41281,1.08162,0.0012575,0.0012575,0.0012575
17,42.0239,1.18653,1.43382,1.05849,0.95603,0.84,0.9607,0.60564,1.19436,1.34051,1.1308,0.001208,0.001208,0.001208
18,44.7797,1.16195,1.44966,1.06284,0.88506,0.92416,0.95858,0.61546,1.19119,1.3334,1.10756,0.0011585,0.0011585,0.0011585
19,47.3768,1.19867,1.39632,1.06923,0.90126,0.88,0.94294,0.57357,1.29552,1.25245,1.09161,0.001109,0.001109,0.001109
20,49.9963,1.14262,1.40003,1.01707,0.91005,0.88,0.9376,0.61156,1.17298,1.14295,1.04785,0.0010595,0.0010595,0.0010595
21,52.5293,1.14672,1.267,1.03405,0.90184,0.92,0.94308,0.60435,1.129,1.12667,1.00815,0.00101,0.00101,0.00101
22,54.7986,1.11844,1.2822,1.01436,0.88843,0.95574,0.94665,0.6053,1.1018,1.11079,0.99759,0.0009605,0.0009605,0.0009605
23,57.1879,1.11099,1.25126,1.00064,0.88748,0.94682,0.97166,0.65968,1.00467,0.99875,0.96574,0.000911,0.000911,0.000911
24,59.6651,1.04176,1.19602,0.9817,0.92271,0.9552,0.9721,0.68353,1.00046,0.95944,0.96597,0.0008615,0.0008615,0.0008615
25,61.9926,0.97165,1.13095,0.97206,0.92699,0.92,0.97889,0.66978,1.00091,0.9689,0.9717,0.000812,0.000812,0.000812
26,64.2305,1.07454,1.15024,0.99983,0.98238,0.92,0.98418,0.7089,0.96092,0.95158,0.96638,0.0007625,0.0007625,0.0007625
27,66.5274,1.02036,1.19901,1.00867,0.95962,1,0.99192,0.71254,0.9185,0.88561,0.96272,0.000713,0.000713,0.000713
28,68.8366,0.96904,1.14692,0.9718,0.95404,1,0.99192,0.70711,0.93056,0.86605,0.96345,0.0006635,0.0006635,0.0006635
29,71.1538,0.9692,1.15768,0.98533,0.99636,1,0.995,0.69216,0.96195,0.83262,0.96145,0.000614,0.000614,0.000614
30,73.4188,0.93036,1.07202,0.94104,0.98812,1,0.995,0.6988,0.95469,0.81733,0.95584,0.0005645,0.0005645,0.0005645
31,80.0668,0.92479,1.32718,0.95084,0.99934,1,0.995,0.68736,0.99359,0.8589,0.95991,0.000515,0.000515,0.000515
32,82.7306,0.88513,1.26463,0.91923,0.96142,0.99687,0.99346,0.65437,1.01438,0.87502,0.96143,0.0004655,0.0004655,0.0004655
33,85.2753,0.86136,1.14661,0.91005,0.95584,0.96,0.98591,0.6954,0.93188,0.84101,0.94216,0.000416,0.000416,0.000416
34,88.0855,0.8491,1.15381,0.93322,0.95946,0.94716,0.98591,0.71462,0.86715,0.81662,0.93147,0.0003665,0.0003665,0.0003665
35,91.2789,0.84253,1.14238,0.90585,0.89213,0.9927,0.98149,0.74813,0.86193,0.82446,0.93472,0.000317,0.000317,0.000317
36,93.872,0.83192,1.11947,0.92557,0.89219,0.99326,0.98149,0.75052,0.86893,0.8211,0.93299,0.0002675,0.0002675,0.0002675
37,96.4273,0.86653,1.15898,0.94202,0.98217,0.88,0.98059,0.75837,0.85865,0.84947,0.93388,0.000218,0.000218,0.000218
38,98.9322,0.8248,1.15546,0.95159,0.8915,0.98635,0.98214,0.75879,0.85071,0.8217,0.93031,0.0001685,0.0001685,0.0001685
39,101.465,0.81563,1.13043,0.91456,0.89197,0.99109,0.98323,0.74706,0.83925,0.81766,0.9199,0.000119,0.000119,0.000119
40,104.07,0.80879,1.12842,0.92637,0.89136,0.98496,0.98323,0.75095,0.83138,0.80971,0.91755,6.95e-05,6.95e-05,6.95e-05
