epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.47671,1.72029,4.53278,1.50758,0.0025,0.72,0.00309,0.00163,1.21761,3.70122,0.98738,0.00022,0.00022,0.00022
2,4.27995,1.33557,3.29112,1.08886,0.00306,0.88,0.24534,0.06867,1.45511,3.77786,1.16302,0.00045241,0.00045241,0.00045241
3,5.92983,1.48167,2.53745,1.18955,0.00292,0.84,0.40857,0.17341,1.38895,3.59497,1.08939,0.0006769,0.0006769,0.0006769
4,7.60617,1.47634,2.07387,1.25216,0.00306,0.88,0.07907,0.0188,1.40742,3.48815,1.12796,0.00089347,0.00089347,0.00089347
5,9.14112,1.3758,2.061,1.13677,0.00319,0.92,0.09193,0.05005,1.29048,3.34332,1.08319,0.00110212,0.00110212,0.00110212
6,10.8669,1.29962,2.02433,1.13712,1,0.10155,0.32546,0.16836,1.30462,3.20209,1.18341,0.00130285,0.00130285,0.00130285
7,12.4728,1.35114,1.97377,1.22043,0.12196,0.52,0.29798,0.20519,1.23767,3.06534,1.12202,0.00149566,0.00149566,0.00149566
8,14.1002,1.36428,1.7729,1.19865,0.80529,0.28,0.46506,0.32901,1.09256,2.94765,1.10204,0.00168055,0.00168055,0.00168055
9,15.6361,1.46576,1.92413,1.22943,0.88234,0.30113,0.50096,0.24966,1.42044,3.08183,1.21071,0.001736,0.001736,0.001736
10,17.3007,1.30881,1.75052,1.148,0.69265,0.56,0.66404,0.36457,1.29232,2.60366,1.18175,0.001703,0.001703,0.001703
11,18.7513,1.30659,1.8774,1.19401,0.76342,0.72,0.73845,0.44345,1.48145,2.08413,1.28973,0.00167,0.00167,0.00167
12,20.3565,1.42479,1.69949,1.19847,0.87349,0.64,0.77287,0.4783,1.3463,1.99213,1.23252,0.001637,0.001637,0.001637
13,21.9187,1.4416,1.84371,1.26592,0.86647,0.64,0.83448,0.42406,1.55197,1.77287,1.382,0.001604,0.001604,0.001604
14,23.491,1.26504,1.48464,1.19717,0.96519,0.64,0.84288,0.49412,1.35491,1.67449,1.26531,0.001571,0.001571,0.001571
15,25.222,1.28724,1.4978,1.15396,0.9452,0.76,0.89669,0.48995,1.48957,1.53346,1.29599,0.001538,0.001538,0.001538
16,26.8288,1.15972,1.43608,1.1278,0.99589,0.68,0.88894,0.52526,1.42366,1.56301,1.2356,0.001505,0.001505,0.001505
17,28.4853,1.17221,1.35168,1.09227,0.93808,0.76,0.91639,0.60273,1.10503,1.30525,1.14267,0.001472,0.001472,0.001472
18,30.1287,1.15859,1.33283,1.0943,0.90927,0.88,0.95525,0.61209,1.12987,1.30972,1.13675,0.001439,0.001439,0.001439
19,31.7826,1.26291,1.3236,1.09333,0.95567,0.86268,0.94277,0.61626,1.17637,1.20165,1.1036,0.001406,0.001406,0.001406
20,33.5234,1.14681,1.22621,1.09935,0.7947,0.88,0.91232,0.58662,1.17377,1.32728,1.15464,0.001373,0.001373,0.001373
21,35.1168,1.18089,1.23368,1.14807,0.95421,0.83382,0.92361,0.56835,1.30407,1.14829,1.15961,0.00134,0.00134,0.00134
22,36.7831,1.34447,1.26268,1.11463,0.90504,0.84,0.91736,0.55987,1.42704,1.14241,1.30567,0.001307,0.001307,0.001307
23,38.333,1.16674,1.21338,1.14788,0.91593,0.87188,0.94901,0.58536,1.21678,1.06567,1.1539,0.001274,0.001274,0.001274
24,39.9369,1.13293,1.17499,1.05768,0.93907,0.84,0.95707,0.61277,1.18478,1.01792,1.15325,0.001241,0.001241,0.001241
25,41.4952,1.16207,1.15176,1.14113,1,0.8761,0.96619,0.63645,1.15619,0.96407,1.09568,0.001208,0.001208,0.001208
26,43.1203,1.09169,1.04905,1.01773,0.86633,0.88,0.95447,0.66149,1.04194,0.92295,1.0822,0.001175,0.001175,0.001175
27,44.8633,1.03393,1.07008,1.00028,0.85545,0.9472,0.9625,0.65834,1.05549,0.99715,1.0561,0.001142,0.001142,0.001142
28,46.4707,0.98438,1.06783,1.04234,0.92207,0.94692,0.97463,0.61796,1.08452,1.02457,1.03232,0.001109,0.001109,0.001109
29,48.3334,1.05049,1.03697,1.00265,0.91985,0.91817,0.95242,0.67296,1.04741,0.88925,1.00394,0.001076,0.001076,0.001076
30,50.0302,0.99437,1.00301,1.03928,0.94407,0.96,0.96309,0.68985,1.03055,0.87388,1.00744,0.001043,0.001043,0.001043
31,51.6568,1.03596,1.04887,1.02027,0.91638,0.96,0.96472,0.68153,1.02457,0.85951,1.00257,0.00101,0.00101,0.00101
32,53.0873,0.92381,0.95934,0.98418,1,0.90922,0.96887,0.73627,0.90186,0.80684,0.98257,0.000977,0.000977,0.000977
33,54.7845,0.98438,0.99782,0.99872,1,0.91783,0.97895,0.73392,0.94928,0.81967,1.0026,0.000944,0.000944,0.000944
34,56.2556,0.95847,0.97533,1.01145,1,0.91345,0.98418,0.74444,0.85979,0.78768,0.97864,0.000911,0.000911,0.000911
35,58.0441,0.95672,1.00343,0.99492,0.99841,0.92,0.98764,0.71116,0.93194,0.78857,0.99313,0.000878,0.000878,0.000878
36,59.598,0.93171,0.93864,1.00062,0.9909,0.92,0.98643,0.70995,0.9888,0.7821,1.01415,0.000845,0.000845,0.000845
37,61.1344,0.9088,0.90978,1.00365,0.99272,0.92,0.98788,0.70749,0.92278,0.75146,1.01802,0.000812,0.000812,0.000812
